TransactionAmount,TransactionType,Location,Channel,CustomerAge,CustomerOccupation,TransactionDuration,LoginAttempts,AccountBalance,CustomerAgeGroup,Target
14.090000000000032,1,36,0,70.0,0,81.0,1.0,5112.21,Senior,1
376.24,1,15,0,68.0,0,141.0,1.0,13758.91,Senior,2
126.29000000000002,1,23,2,19.0,3,56.0,1.0,1122.3499999999995,Young,2
184.5,1,33,2,26.0,3,25.0,1.0,8569.06,Young,1
92.15,1,28,0,18.0,3,172.0,1.0,781.6800000000003,Young,1
7.0800000000000125,0,39,0,37.0,0,139.0,1.0,13316.71,Middle-aged,1
171.42,0,16,1,67.0,2,291.0,1.0,2796.24,Senior,2
106.23000000000002,0,11,1,51.0,1,86.0,1.0,9095.14,Middle-aged,0
815.96,1,26,0,55.0,0,120.0,1.0,1021.8799999999997,Middle-aged,2
17.779999999999973,0,0,2,52.0,1,59.0,1.0,7599.52,Middle-aged,0
190.02,1,22,2,21.0,3,173.0,1.0,1528.81,Young,2
494.52,0,23,1,24.0,3,111.0,1.0,1620.02,Young,2
781.76,1,22,0,26.0,3,123.0,1.0,189.6899999999996,Young,2
166.99,1,21,2,18.0,3,134.0,1.0,299.9300000000003,Young,2
465.45,1,10,0,36.0,1,129.0,1.0,3465.54,Middle-aged,0
555.8,0,2,1,19.0,3,158.0,1.0,1131.2600000000007,Young,0
492.92999999999995,1,8,2,39.0,1,234.0,1.0,5109.97,Middle-aged,0
18.680000000000035,0,0,1,59.0,2,106.0,1.0,7948.37,Senior,0
71.48000000000002,0,8,2,18.0,3,169.0,1.0,6568.59,Young,0
59.31999999999999,1,20,1,71.0,2,38.0,1.0,5750.89,Senior,2
85.76999999999998,1,19,1,38.0,0,93.0,1.0,9146.19,Middle-aged,2
145.53999999999996,1,33,2,21.0,3,96.0,1.0,1930.96,Young,1
7.490000000000009,0,15,2,65.0,2,276.0,1.0,3634.67,Senior,2
40.31999999999999,1,25,1,37.0,1,95.0,1.0,2686.52,Middle-aged,2
127.44999999999999,1,19,2,44.0,0,197.0,1.0,1772.06,Middle-aged,2
56.170000000000016,1,11,1,27.0,3,283.0,1.0,1351.69,Young,0
28.310000000000002,0,24,2,59.0,0,20.0,1.0,8334.47,Senior,2
59.120000000000005,1,3,0,29.0,0,257.0,1.0,9823.64,Young,0
877.81,1,20,2,21.999999999999996,3,150.0,1.0,399.0,Young,2
255.26,0,37,1,45.0,0,50.0,1.0,14815.869999999999,Middle-aged,1
124.75999999999999,1,39,1,49.0,1,45.0,1.0,5764.72,Middle-aged,1
78.13,1,25,1,26.0,3,145.0,1.0,900.6099999999997,Young,2
335.63,1,28,2,55.0,2,216.0,1.0,1019.3899999999999,Middle-aged,1
328.47,1,35,0,63.0,2,119.0,1.0,4323.66,Senior,1
34.02000000000001,1,30,2,38.0,0,19.0,1.0,14214.48,Middle-aged,1
241.42,0,5,2,57.0,0,116.0,1.0,13357.02,Senior,0
55.31999999999999,1,40,0,19.0,3,117.0,1.0,241.78999999999996,Young,1
304.31,1,21,1,27.0,3,33.0,1.0,868.6099999999997,Young,2
164.49,1,3,1,26.0,3,75.0,1.0,1509.27,Young,0
510.24,1,28,2,19.0,3,105.0,1.0,781.6999999999998,Young,1
626.9,1,10,2,26.0,3,138.0,1.0,265.5100000000002,Young,0
425.34,0,18,2,69.0,2,121.0,1.0,3907.54,Senior,2
85.43,1,41,1,67.0,0,145.0,1.0,14904.899999999998,Senior,1
169.5,1,36,1,28.0,3,142.0,1.0,918.8800000000001,Young,1
104.63,1,29,0,62.0,2,90.0,1.0,4477.78,Senior,1
316.95,1,23,1,25.0,3,83.0,1.0,1324.0299999999997,Young,2
60.53999999999999,0,8,1,57.0,2,52.0,1.0,3534.93,Senior,0
292.56,0,9,1,68.0,2,61.0,1.0,4638.37,Senior,0
386.52,1,16,1,48.0,1,28.0,1.0,5630.61,Middle-aged,2
112.07,1,18,1,23.0,3,51.0,1.0,930.3000000000002,Young,2
349.64,1,19,2,48.0,1,226.0,1.0,6651.62,Middle-aged,2
601.4,0,30,1,56.0,1,104.0,1.0,8458.29,Senior,1
5.769999999999982,1,5,2,50.0,0,124.0,1.0,13988.119999999999,Middle-aged,0
201.33,0,26,1,42.0,1,186.0,1.0,2585.07,Middle-aged,2
298.42,1,16,1,56.0,2,225.0,1.0,3014.75,Senior,2
521.06,1,0,1,25.0,3,128.0,1.0,1951.42,Young,0
117.28,0,2,2,60.0,1,16.0,1.0,3665.77,Senior,0
133.55,1,1,0,44.0,1,220.0,1.0,3846.28,Middle-aged,0
143.21000000000004,1,9,2,35.0,1,135.0,1.0,6374.82,Middle-aged,0
24.769999999999982,1,4,0,62.0,2,55.0,1.0,5866.01,Senior,0
233.92,0,17,2,26.0,3,280.0,1.0,6537.62,Young,2
91.53,1,25,1,44.0,0,69.0,1.0,14676.05,Middle-aged,2
120.29000000000002,1,24,1,19.0,3,77.0,1.0,1362.3900000000003,Young,2
174.25,1,39,2,50.0,0,67.0,1.0,10528.34,Middle-aged,1
183.71,1,10,0,38.0,1,102.0,1.0,552.5199999999995,Middle-aged,0
259.91,1,10,2,49.0,0,170.0,1.0,7176.86,Middle-aged,0
154.71,1,36,2,34.0,0,157.0,1.0,1523.7200000000003,Middle-aged,1
24.560000000000002,1,23,1,64.0,0,69.0,1.0,9869.93,Senior,2
9.609999999999985,0,36,2,58.0,0,179.0,1.0,12883.91,Senior,1
392.96,1,18,2,24.0,3,100.0,1.0,791.6499999999996,Young,2
716.93,0,25,2,60.0,2,34.0,1.0,4064.02,Senior,2
230.66,1,15,1,21.0,3,135.0,1.0,618.0500000000002,Young,2
644.17,1,35,0,29.0,1,72.0,1.0,1143.52,Young,1
508.68,0,23,1,51.0,1,127.0,1.0,7708.41,Middle-aged,2
858.6300000000001,0,37,1,27.0,3,185.0,1.0,1872.96,Young,1
25.360000000000014,1,21,0,57.0,1,78.0,1.0,201.03999999999996,Senior,2
147.62,1,5,1,71.0,2,133.0,1.0,2115.8,Senior,0
115.01999999999998,1,35,1,37.0,0,175.0,1.0,7643.66,Middle-aged,1
383.37,1,13,1,30.0,1,24.0,1.0,8901.93,Young,2
196.16,1,41,1,27.0,1,146.0,1.0,9418.86,Young,1
129.94,1,19,0,32.0,1,235.0,1.0,7954.92,Young,2
306.9,1,7,2,46.0,1,51.0,1.0,9418.08,Middle-aged,0
114.98000000000002,1,39,2,59.0,2,80.0,1.0,6144.68,Senior,1
756.5900000000001,1,34,1,27.0,3,17.0,1.0,420.64999999999964,Young,1
503.76,1,20,2,21.999999999999996,3,35.0,1.0,447.8199999999997,Young,2
143.03,1,35,0,63.0,2,147.0,1.0,7981.45,Senior,1
254.37,0,9,2,51.0,1,174.0,1.0,8849.26,Middle-aged,0
213.76,0,9,0,78.0,2,282.0,1.0,3528.72,Senior,0
327.86,1,14,2,40.0,1,104.0,1.0,480.15999999999985,Middle-aged,2
2.5000000000000284,1,36,2,47.0,0,107.0,1.0,12145.27,Middle-aged,1
300.08,0,2,2,68.0,0,47.0,1.0,13546.75,Senior,0
115.82999999999998,1,14,1,39.0,1,167.0,1.0,6481.04,Middle-aged,2
53.56999999999999,1,15,0,69.0,2,121.0,1.0,1651.33,Senior,2
63.34,0,11,2,46.0,0,165.0,1.0,11174.94,Middle-aged,0
331.65,1,32,2,41.0,1,61.0,1.0,4172.57,Middle-aged,1
5.039999999999992,1,42,0,56.0,2,41.0,1.0,5558.36,Senior,1
214.54,0,11,2,70.0,0,247.0,1.0,11151.53,Senior,0
598.81,1,30,1,57.0,0,158.0,1.0,1415.52,Senior,1
841.28,1,40,2,26.0,3,80.0,1.0,1103.6400000000008,Young,1
38.150000000000006,1,23,2,26.0,3,108.0,1.0,303.6800000000003,Young,2
124.72,1,28,1,33.0,1,105.0,1.0,6309.8,Middle-aged,1
302.45,0,35,1,78.0,2,40.000000000000014,1.0,5133.61,Senior,1
208.04,1,21,2,47.0,1,273.0,1.0,9344.98,Middle-aged,2
5.769999999999982,0,20,1,23.0,3,254.0,1.0,1117.9700000000003,Young,2
381.33,1,0,0,56.0,0,75.0,1.0,11835.35,Senior,0
16.159999999999997,1,25,0,50.0,0,124.0,1.0,14401.169999999998,Middle-aged,2
486.08,1,28,2,18.0,3,68.0,1.0,1748.69,Young,1
336.39,1,35,1,21.0,3,17.999999999999986,1.0,1000.46,Young,1
234.57,1,6,2,23.0,3,120.0,1.0,263.9800000000005,Young,0
6.000000000000028,1,6,2,30.0,0,246.0,1.0,5442.76,Young,0
227.14,1,5,0,18.0,3,294.0,1.0,341.9399999999996,Young,0
45.849999999999994,1,20,0,20.0,3,92.0,1.0,1659.15,Young,2
415.5,1,22,0,66.0,0,141.0,1.0,10113.66,Senior,2
265.76,1,30,2,54.0,2,92.0,1.0,4446.17,Middle-aged,1
69.4,1,41,2,80.0,2,113.0,1.0,6452.77,Senior,1
332.93,0,0,1,35.0,1,293.0,1.0,2788.2,Middle-aged,0
267.9,1,35,2,20.0,3,160.0,1.0,596.1599999999999,Young,1
496.03,1,37,1,61.0,0,265.0,1.0,12904.66,Senior,1
376.26,1,40,0,37.0,1,245.0,1.0,9062.4,Middle-aged,1
83.01999999999998,0,39,2,36.0,1,171.0,1.0,9009.56,Middle-aged,1
93.25999999999999,0,27,2,20.0,3,72.0,1.0,1152.1999999999994,Young,2
803.3700000000001,0,22,1,68.0,0,129.0,1.0,12168.37,Senior,2
35.75999999999996,1,5,1,23.0,3,122.0,1.0,611.8599999999997,Young,0
28.53000000000003,1,42,2,62.0,0,99.0,1.0,8670.53,Senior,1
139.53000000000003,0,21,2,53.0,0,177.0,1.0,10098.86,Middle-aged,2
307.57,1,11,1,33.0,0,285.0,1.0,5307.74,Middle-aged,0
60.650000000000006,0,40,1,56.0,2,53.0,1.0,1047.2800000000002,Senior,1
74.86000000000001,1,26,1,70.0,0,125.0,1.0,6921.48,Senior,2
231.91,1,22,0,34.0,1,165.0,1.0,112.76000000000022,Middle-aged,2
126.20999999999998,1,3,1,75.0,2,268.0,1.0,5669.66,Senior,0
304.35,1,15,1,31.0,1,36.0,1.0,4057.1,Young,2
281.85,1,11,0,21.999999999999996,3,109.0,1.0,1585.98,Young,0
777.8800000000001,1,15,1,31.0,1,17.0,1.0,6825.55,Young,2
119.18,1,20,1,56.0,2,96.0,1.0,5516.5,Senior,2
177.19,1,6,2,76.0,2,43.0,1.0,5343.3,Senior,0
260.88,1,10,1,21.999999999999996,3,36.0,1.0,903.0500000000002,Young,0
169.47,1,6,2,24.0,3,19.0,1.0,1806.1599999999999,Young,0
73.23000000000002,1,32,1,26.0,3,14.0,1.0,787.7399999999998,Young,1
792.5700000000002,1,3,0,19.0,3,164.0,1.0,770.3699999999999,Young,0
237.06,1,31,2,71.0,2,46.0,1.0,1182.77,Senior,1
34.170000000000016,0,30,2,54.0,1,54.0,1.0,726.5500000000002,Middle-aged,1
740.25,1,30,2,41.0,0,123.0,1.0,14464.3,Middle-aged,1
453.54,1,0,0,58.0,0,82.0,1.0,12046.3,Senior,0
300.47,1,17,1,73.0,2,100.0,1.0,7885.64,Senior,2
110.93,0,41,1,19.0,3,201.0,1.0,1952.35,Young,1
201.69,1,19,0,59.0,0,299.0,1.0,7328.52,Senior,2
399.21,1,32,0,59.0,1,109.0,1.0,3210.39,Senior,1
630.36,1,23,0,62.0,2,52.0,1.0,1363.65,Senior,2
10.940000000000026,0,30,0,60.0,1,245.0,1.0,1241.9899999999998,Senior,1
